wavenumber,transmittance
2090.6959,0.011678
2088.1157,0.011936
2085.5356,0.012483
2082.9554,0.012769
2080.3753,0.012434
2077.7952,0.011598
2075.2150,0.010896
2072.6349,0.010385
2070.0547,0.010043
2067.4746,0.009860
2064.8944,0.009838
2062.3143,0.009977
2059.7342,0.010276
2057.1540,0.010737
2054.5739,0.011425
2051.9937,0.012089
2049.4136,0.012167
2046.8335,0.011972
2044.2533,0.011954
2041.6732,0.010817
2039.0930,0.010037
2036.5129,0.010408
2033.9328,0.010809
2031.3526,0.009405
2028.7725,0.008151
2026.1923,0.008294
2023.6122,0.008719
2021.0321,0.008932
2018.4519,0.008816
2015.8718,0.008801
2013.2916,0.008815
2010.7115,0.008857
2008.1314,0.008928
2005.5512,0.009029
2002.9711,0.009197
2000.3909,0.009247
1997.8108,0.009058
1995.2306,0.008714
1992.6505,0.008467
1990.0704,0.008342
1987.4902,0.008312
1984.9101,0.008378
1982.3299,0.008523
1979.7498,0.008888
1977.1697,0.009384
1974.5895,0.009347
1972.0094,0.008525
1969.4292,0.007257
1966.8491,0.006056
1964.2690,0.006679
1961.6888,0.007476
1959.1087,0.007226
1956.5285,0.005395
1953.9484,0.004220
1951.3683,0.003165
1948.7881,0.002255
1946.2080,0.001489
1943.6278,0.000866
1941.0477,0.000385
1938.4676,0.000047
1935.8874,-0.000150
1933.3073,-0.000205
1930.7271,-0.000119
1928.1470,0.000109
1925.5668,0.000479
1922.9867,0.000990
1920.4066,0.001645
1917.8264,0.002443
1915.2463,0.003385
1912.6661,0.004471
1910.0860,0.005704
1907.5059,0.007370
1904.9257,0.007935
1902.3456,0.007435
1899.7654,0.006554
1897.1853,0.007042
1894.6052,0.007471
1892.0250,0.007042
1889.4449,0.005612
1886.8647,0.004198
1884.2846,0.003088
1881.7045,0.002167
1879.1243,0.001440
1876.5442,0.000904
1873.9640,0.000559
1871.3839,0.000405
1868.8038,0.000441
1866.2236,0.000668
1863.6435,0.001085
1861.0633,0.001694
1858.4832,0.002495
1855.9030,0.003489
1853.3229,0.004679
1850.7428,0.006084
1848.1626,0.007695
1845.5825,0.008926
1843.0023,0.009482
1840.4222,0.010421
1837.8421,0.010326
1835.2619,0.008883
1832.6818,0.006980
1830.1016,0.007034
1827.5215,0.008592
1824.9414,0.011398
1822.3612,0.012957
1819.7811,0.012912
1817.2009,0.012128
1814.6208,0.011594
1812.0407,0.010704
1809.4605,0.010324
1806.8804,0.011238
1804.3002,0.012105
1801.7201,0.011735
1799.1400,0.011345
1796.5598,0.012284
1793.9797,0.013010
1791.3995,0.014419
1788.8194,0.013815
1786.2392,0.013685
1783.6591,0.013352
1781.0790,0.014703
1778.4988,0.013653
1775.9187,0.014044
1773.3385,0.014321
1770.7584,0.015791
1768.1783,0.016218
1765.5981,0.016481
1763.0180,0.015754
1760.4378,0.016099
1757.8577,0.017462
1755.2776,0.019350
1752.6974,0.022020
1750.1173,0.023497
1747.5371,0.024403
1744.9570,0.023669
1742.3769,0.022639
1739.7967,0.024065
1737.2166,0.028613
1734.6364,0.030386
1732.0563,0.029398
1729.4762,0.030863
1726.8960,0.035232
1724.3159,0.038326
1721.7357,0.040621
1719.1556,0.044809
1716.5754,0.052721
1713.9953,0.061295
1711.4152,0.069024
1708.8350,0.083968
1706.2549,0.099017
1703.6747,0.104327
1701.0946,0.110604
1698.5145,0.123675
1695.9343,0.136278
1693.3542,0.150684
1690.7740,0.177001
1688.1939,0.203571
1685.6138,0.225362
1683.0336,0.251983
1680.4535,0.283323
1677.8733,0.319551
1675.2932,0.361308
1672.7131,0.399918
1670.1329,0.445028
1667.5528,0.495161
1664.9726,0.565898
1662.3925,0.615286
1659.8124,0.692399
1657.2322,0.752337
1654.6521,0.866292
1652.0719,0.953486
1649.4918,1.065077
1646.9116,1.147950
1644.3315,1.246217
1641.7514,1.340386
1639.1712,1.499311
1636.5911,1.920444
1634.0109,2.526977
1631.4308,2.633127
1628.8507,2.151372
1626.2705,1.731444
1623.6904,1.464558
1621.1102,1.198159
1618.5301,1.038225
1615.9500,0.895394
1613.3698,0.732792
1610.7897,0.635648
1608.2095,0.584773
1605.6294,0.542187
1603.0493,0.484558
1600.4691,0.450081
1597.8890,0.424062
1595.3088,0.404450
1592.7287,0.396271
1590.1486,0.389240
1587.5684,0.387612
1584.9883,0.389740
1582.4081,0.400716
1579.8280,0.417519
1577.2478,0.430215
1574.6677,0.446526
1572.0876,0.469432
1569.5074,0.511578
1566.9273,0.554614
1564.3471,0.606832
1561.7670,0.678669
1559.1869,0.728117
1556.6067,0.773554
1554.0266,0.831213
1551.4464,0.925422
1548.8663,0.988238
1546.2862,1.042062
1543.7060,1.084889
1541.1259,1.064525
1538.5457,1.048514
1535.9656,1.057379
1533.3855,1.038864
1530.8053,1.012966
1528.2252,0.938134
1525.6450,0.915258
1523.0649,0.864656
1520.4848,0.801535
1517.9046,0.743987
1515.3245,0.705023
1512.7443,0.653112
1510.1642,0.592097
1507.5841,0.548696
1505.0039,0.502485
1502.4238,0.459283
1499.8436,0.417625
1497.2635,0.386034
1494.6833,0.354910
1492.1032,0.328651
1489.5231,0.302546
1486.9429,0.288507
1484.3628,0.279038
1481.7826,0.277817
1479.2025,0.283120
1476.6224,0.300010
1474.0422,0.318949
1471.4621,0.334511
1468.8819,0.350815
1466.3018,0.373854
1463.7217,0.402239
1461.1415,0.432402
1458.5614,0.466016
1455.9812,0.497541
1453.4011,0.519684
1450.8210,0.543035
1448.2408,0.549156
1445.6607,0.546850
1443.0805,0.531837
1440.5004,0.515186
1437.9203,0.492402
